taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Pseudophoxinus sp. BOLD:ACB4054	?	?	?	?	?	?
Pseudophoxinus burduricus	?	?	?	?	?	?
Squalius alburnoides	?	?	?	?	?	?
Squalius prespensis	?	?	?	?	?	?
Squalius svallize	?	?	?	?	?	?
Squalius laietanus	?	?	?	?	?	?
Squalius malacitanus	?	?	?	?	?	?
Squalius valentinus	?	?	?	?	?	?
Squalius squalus	?	?	?	?	?	?
Squalius pyrenaicus	?	1	?	2	0	0
Squalius torgalensis	?	?	?	?	?	?
Squalius microlepis	?	?	?	?	?	?
Squalius albus	?	?	?	?	?	?
Squalius cephalus	?	?	?	?	?	?
Ladigesocypris irideus	?	?	?	?	?	?
Ladigesocypris ghigii	?	?	?	?	?	?
Ladigesocypris mermere	?	?	?	?	?	?
Squalius peloponensis	?	?	?	?	?	?
Squalius moreoticus	?	?	?	?	?	?
Squalius aradensis	?	?	?	?	?	?
Squalius orpheus	?	?	?	?	?	?
Squalius vardarensis	?	?	?	?	?	?
Squalius sp. SP-2010c	?	?	?	?	?	?
Squalius sp. SP-2010b	?	?	?	?	?	?
Squalius sp. SP-2010a	?	?	?	?	?	?
Squalius zrmanjae	?	?	?	?	?	?
Squalius illyricus	?	?	?	?	?	?
Squalius keadicus	?	?	?	?	?	?
Squalius carolitertii	?	?	?	?	?	?
Squalius castellanus	?	?	?	?	?	?
Squalius palaciosi	?	?	?	?	?	?
Squalius aphipsi	?	?	?	?	?	?
Squalius lepidus	?	?	?	?	?	?
Squalius lucumonis	?	?	?	?	?	?
Squalius anatolicus	?	?	?	?	?	?
Squalius cii	?	?	?	?	?	?
Squalius squaliusculus	?	?	?	?	?	?
Squalius cavedanus	?	?	?	?	?	?
Squalius turcicus	?	?	?	?	?	?
Squalius aristotelis	?	?	?	?	?	?
Squalius recurvirostris	?	?	?	?	?	?
Squalius carinus	?	?	?	?	?	?
Squalius vulgaris	?	?	?	?	?	?
Squalius leuciscus	?	?	?	?	?	?
Squalius ulanus	?	?	?	?	?	?
Squalius cappadocicus	?	?	?	?	?	?
Squalius pamvoticus	?	?	?	?	?	?
Squalius janae	?	?	?	?	?	?
Squalius platyceps	?	?	?	?	?	?
Squalius kottelati	?	?	?	?	?	?
Squalius cephaloides	?	?	?	?	?	?
Squalius sp. BOLD:AAE3493	?	?	?	?	?	?
Squalius sp. BOLD:AAD8346	?	?	?	?	?	?
Squalius orientalis	?	?	?	?	?	?
Squalius kosswigi	?	?	?	?	?	?
Squalius fellowesii	?	?	?	?	?	?
Squalius sp. BOLD:AAM4060	?	?	?	?	?	?
Squalius adanensis	?	?	?	?	?	?
Squalius sp. C74_BAS	?	?	?	?	?	?
