taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred
Grundulus_bogotensis	1	1	2	1
Veliferidae	?	1	?	2
Corydoras_arcuatus	1	?	2	?
Algansea_barbata	1	1	2	2
Carpiodes_carpio	1	1	2	1
Danio_erythromicron	1	?	2	?
Clupea_pallasii	?	1	?	2
Lipopterichthys_sp._(Britto_2003)	1	?	2	?
Lythrurus_roseipinnis	1	1	2	2
Pogonophryne_scotti	1	?	2	?
Corydoras_haraldschultzi	1	?	2	?
Bathysauridae	?	1	?	2
Chaetostoma_fischeri	1	1	2	2
Micralestes_occidentalis	1	1	2	2
Enchodus_petrosus	1	1	2	2
Agoniates_anchovia	1	?	2	?
Corydoras_eques	1	?	2	?
Brycon_sp._(Lucena_and_Menezes_1998)	1	?	2	?
Otothyris_sp._(Schaefer_1991)	1	?	2	?
Catostomus_tahoensis	?	1	?	2
Cypriniformes	1	1	2	1
Myxocyprinus_asiaticus	1	1	2	1
Prochilodus_lineatus	1	1	2	2
Masturus_lanceolatus	1	?	2	?
Trachinidae	1	?	2	?
Notropis_sallaei	?	1	?	2
Anisochromis	1	1	1	1
Xenolepidichthys	?	1	?	2
Olyridae	1	?	2	?
Clinostomus_funduloides	1	1	2	2
Gephyrocharax_caucanus	?	1	?	2
Batrochoglanis_villosus	1	?	2	?
Hollandichthys_multifasciatus	?	1	?	1
Trachichthyidae	?	1	?	2
Liparis_inquilinus	1	?	2	?
Oxycheilinus_orientalis	1	1	2	2
Corydoras_xinguensis	1	?	2	?
Campostoma_ornatum	1	1	2	2
Cathorops_spixii	1	1	2	2
Bunocephalus_sp._2_(Chen_1994)	1	?	2	?
Rhytiodus_lauzannei	?	1	?	2
Sardina_pilchardus	?	1	?	1
Brycon_sp._(Fink_and_Fink_1981)	1	1	2	1
Catostomus_ardens	?	1	?	2
Notropis_greenei	1	1	2	2
Ichthyborus_sp._(Fink_and_Fink_1981)	1	1	2	1
Hypoptopoma_sp._(Britto_2003)	1	?	2	?
Rita_sp._(Kailola_2004)	1	1	2	2
Amphilophus_hogaboomorum	?	1	?	2
Oxycheilinus_celebicus	1	1	2	2
Homaloptera_sp._(Fink_and_Fink_1981)	1	1	2	1
Rhinichthys_cataractae	1	1	2	2
Aulichthys	?	1	?	2
Rhinichthys_atratulus	1	1	2	2
Minytrema_melanops	?	1	?	2
Corydoras_guapore	1	?	2	?
Rhynchocypris	1	?	2	?
Pseudotrematomus	1	?	2	?
Petersius_conserialis	1	1	2	2
Argopleura_sp._(Weitzman_and_Fink_1985)	?	1	?	2
Catostomus_clarkii	?	1	?	2
Holocentridae	?	1	?	2
Aethotaxis_mitopteryx	1	?	2	?
Nototheniops_nybelini	1	?	2	?
Psednos_melanocephalus	1	?	2	?
Corydoras_pygmaeus	1	?	2	?
Neosilurus_sp._(Kailola_2004)	1	1	2	2
Percomorpha	?	1	?	2
Gephyrocharax_melanocheir	?	1	?	2
Catostomus_santaanae	?	1	?	2
Helicolenus_hilgendorfii	1	?	2	?
Parapsettus_panamensis	1	1	2	2
Rhodeus_ocellatus	?	1	?	2
Nototheniops	1	?	2	?
Doratonotus	1	1	2	2
Lipopterichthys_carrioni	1	1	2	2
Algansea_aphanea	1	1	2	2
Opisthonema_berlangai	?	1	?	2
Oxyropsis_wrightiana	1	1	2	2
Brycon_dentex	1	1	2	1
Cyclocheilichthys_enoplos	?	1	?	2
Tomocichla_sieboldii	?	1	?	2
Pteronotropis_hubbsi	1	1	2	2
Gibberichthys	?	1	?	2
Anchoa_januaria	?	1	?	1
Schilbe_laticeps	1	1	2	2
Amblycipitidae	1	?	2	?
Cyttidae	?	1	?	2
Neoplecostomus_paranensis	1	1	2	2
Hybopsis_amnis	1	1	2	2
Vieja_fenestrata	?	1	?	2
Heteropneustidae	1	?	2	?
Steindachnerina_elegans	1	1	2	2
Laeviscutella_dekimpei	?	1	?	2
Hypsophrys_nicaraguensis	?	1	?	2
Yuriria_alta	1	1	2	2
Mastacembelus_vanderwaali	1	?	1	?
Ancistrus_chagresi	1	1	2	2
Anodus_elongatus	1	1	2	1
Anostomus_anostomus	?	1	?	2
Lythrurus_alegnotus	?	1	?	2
Pseudocheilinus	1	1	2	2
Pseudotocinclus_tietensis	1	?	2	?
Corydoras_stenocephalus	1	?	2	?
Deltistes_luxatus	?	1	?	2
Aspidoras_belenos	1	?	2	?
Thryssa_mystax	?	1	?	2
Hypostomus_margaritifer	1	?	2	?
Curimata_macrops	1	1	2	1
Mochokidae	1	?	2	?
Gephyrocharax_intermedius	?	1	?	2
Leporinus_gomesi	?	1	?	2
Protacanthodes_ombonii	?	1	?	1
Chacidae	1	?	2	?
Leucaspius_delineatus	?	1	?	2
Tatia_gyrina	1	?	2	?
Hyperlophus_vittatus	?	1	?	2
Campostoma_oligolepis	1	1	2	2
Margariscus	1	?	2	?
Centromochlus_schultzi	1	?	2	?
Barbonymus_schwanenfeldii	?	1	?	2
Algansea_popoche	1	1	2	2
Odaxothrissa_mento	?	1	?	2
Sisoridae	1	?	2	?
Paraliparis_bathybius	1	?	2	?
Heterocheirodon	?	1	?	2
Nematalosa_erebi	?	1	?	2
Richardsonius_balteatus	1	1	2	2
Oxycheilinus_bimaculatus	1	1	2	2
Nandopsis_haitiensis	?	1	?	2
Aspredinidae	1	?	2	?
Macrotocinclus_flexilis	1	?	2	?
Exoglossum	1	?	2	?
Channichthyidae	1	?	2	?
Notropis_candidus	1	1	2	2
Symphodus	1	1	2	2
Plagiotremus_azaleus	?	1	?	1
Ichthyborus_ornatus	1	1	2	1
Xyliphius_sp._(Chen_1994)	1	?	2	?
Plagiotremus_goslinei	?	1	?	1
Erimyzon_oblongus	1	1	2	1
Centromochlus_concolor	1	?	2	?
Glandulocauda_melanogenys	?	1	?	2
Akysidae	1	?	2	?
Amatitlania_nigrofasciata	?	1	?	2
Phenacobius_uranops	1	1	2	2
Notropis_dorsalis	1	1	2	2
Anoplogastridae	?	1	?	2
Rharbichthys_ferox	1	1	2	2
Cheilinus_chlorourus	1	1	2	2
Glandulocauda_melanopleura	?	1	?	2
Parotocinclus_sp._(Britto_2003)	1	?	2	?
Luxilus_zonistius	1	1	2	2
Notropis_atrocaudalis	1	1	2	2
Alestes_macrophthalmus	1	1	2	2
Eumicrotremus_orbis	1	?	2	?
Pterothrissus	?	1	?	1
Astroblepus_orientalis	1	?	2	?
Citharinus_sp._(Sidlauskas_and_Vari_2008)	?	1	?	2
Monocentridae	?	1	?	2
Santanaclupea	?	1	?	2
Parotocinclus_sp._(Schaefer_1991)	1	?	2	?
Cephalosilurus_albomarginatus	1	?	2	?
Abramites_hypselonotus	?	1	?	2
Pseudotrichonotidae	?	1	?	2
Parachaenichthys_charcoti	1	?	2	?
Vomeridens_infuscipinnis	1	?	2	?
Anchoa_lamprotaenia	?	1	?	1
Gobionotothen	1	?	2	?
Microlepidogaster_sp._(Schaefer_1991)	1	?	2	?
Catostomus_leopoldi	?	1	?	2
Phoxinus_neogaeus	1	1	2	2
Albula_vulpes	?	1	?	1
Notropis_telescopus	1	1	2	2
Phoxinus_oreas	1	1	2	2
Sturisoma_sp._(Schaefer_1987)	1	1	2	2
Trichomycterus_zonatus	1	?	2	?
Dissostichus	1	?	2	?
Mylopharodon_conocephalus	1	1	2	2
Mesoborus_sp._(Fink_and_Fink_1981)	1	1	2	1
Oxycheilinus_mentalis	1	1	2	2
Boraras_urophthalmoides	1	?	2	?
Hybognathus_sp._(Coburn_and_Cavender_1992)	?	1	?	2
Spintherobolus_papilliferus	?	1	?	2
Paraliparis_garmani	1	?	2	?
Careproctus_rastrinus	1	?	2	?
Thryssa_hamiltonii	?	1	?	2
Bryconamericus_brevirostris	1	1	2	1
Moxostoma_anisurum	?	1	?	2
New_genus_(Schaefer_1991)	1	?	2	?
Histiodraco_velifer	1	?	2	?
Couesius	1	?	2	?
Herichthys_bartoni	?	1	?	2
Diretmidae	?	1	?	2
Notropis_amoenus	1	1	2	2
Cheilinus_trilobatus	1	1	2	2
Gnathodolus_bidens	?	1	?	2
Leporinus_friderici	?	1	?	2
Parotocinclus_polyochrus	1	?	2	?
Oreosomatidae	1	1	2	2
Centromochlus_sp._(Rio_Negro)_(Royero_1999)	1	1	2	2
Tribolodon	1	?	2	?
Cichlasoma_atromaculatum	?	1	?	2
Hybopsis_winchelli	1	1	2	2
Argopleura_magdalenensis	?	1	?	2
Konosirus_punctatus	?	1	?	2
Cheirodon_pisciculus	?	1	?	2
Thorichthys_affinis	?	1	?	2
Argopleura_diquensis	?	1	?	2
Odontostilbe_fugitiva	?	1	?	2
Anchoa_marinii	?	1	?	1
Danio_margaritatus	1	?	2	?
Notropis_blennius	1	1	2	2
Notropis_altipinnis	1	1	2	2
Stephanolepis_hispidus	?	1	?	1
Sinogastromyzon_puliensis	1	1	2	2
Notropis_ortenburgeri	1	1	2	2
Pimelodidae	1	?	2	?
Labracinus	1	1	1	1
Eremichthys	1	?	2	?
Catostomus_occidentalis	?	1	?	2
Sebastiscus_marmoratus	1	?	2	?
Relictus_solitarius	1	1	2	2
Triacanthodes_anomalus	?	1	?	1
Notropis_jemezanus	1	1	2	2
Notropis_maculatus	1	1	2	2
Catostomus_platyrhynchus	?	1	?	2
Astroblepus_boulengeri	1	1	2	2
Phenacobius_crassilabrum	1	1	2	2
Patagonotothen_ramsayi	1	?	2	?
Pseudocheilinops	1	1	2	2
Astroblepidae	1	?	2	?
Compsura_gorgonae	?	1	?	2
Notothenia	1	?	2	?
Cheilinus_oxycephalus	1	1	2	2
Anostomus_ternetzi	?	1	?	2
Apareiodon_sp._(Fink_and_Fink_1981)	1	1	2	1
Pseudopimelodus_mangurus	1	?	2	?
Nipponocypris_temminckii	1	1	2	1
Megalops_sp._(Fink_and_Fink_1981)	1	1	2	1
Otocinclus_sp._(Schaefer_1987)	1	1	2	2
Ilisha_africana	?	1	?	1
Nematalosa_papuensis	?	1	?	2
Erimyzon_tenuis	?	1	?	2
Rasbora_dusonensis	?	1	?	2
Berycidae	?	1	?	2
Algansea_tincella	1	1	2	2
Rondeletiidae	?	1	?	2
Notropis_rubricroceus	?	1	?	2
Enchodus_venator	1	1	2	2
Dissostichus_mawsoni	1	?	2	?
Lamontichthys_filamentosus	1	1	2	2
Cheirodontops_geayi	?	1	?	2
Eospinus_daniltshenkoi	?	1	?	1
Aethotaxis	1	?	2	?
Microglanis_aff._iberingi_(Shibatta_1998)	1	?	2	?
Cheilinus_fasciatus	1	1	2	2
Kronichthys_heylandi	1	1	2	2
Macropsobrycon_uruguayanae	?	1	?	2
Gila_robusta	?	1	?	2
Carpiodes_velifer	?	1	?	2
Chasmistes_liorus	?	1	?	2
Hypostomus_sp._(Schaefer_1987)	1	1	2	2
Dianema_sp._(Kailola_2004)	1	1	2	2
Saccoderma_melanostigma	?	1	?	2
Distichodus_sp._(Sidlauskas_and_Vari_2008)	?	1	?	2
Tinca_tinca	?	1	?	2
Laemolyta_proxima	?	1	?	2
Cichlasoma_salvini	?	1	?	2
Rhamdia_sp._(Kailola_2004)	1	1	2	2
Hypomasticus_megalepis	?	1	?	2
Cygnodraco_mawsoni	1	?	2	?
Sardinella_albella	?	1	?	2
Brachymystax_lenok	1	1	2	1
Stolephorus_indicus	?	1	?	2
Uranoscopidae	1	?	2	?
Hypoptopoma_steindachneri	1	?	2	?
Richardsonius_egregius	1	1	2	2
Parazenidae	1	1	2	2
Prohollardia_avita	?	1	?	1
Mylocheilus_caurinus	1	1	2	2
Notothenia_coriiceps	1	?	2	?
Moxostoma_hubbsi	?	1	?	2
Iracema_caiana	1	?	2	?
Aphyocheirodon_hemigrammus	?	1	?	2
Hoplostethus	?	1	?	2
Wetmorella_nigropinnata	1	1	2	2
Liparis_pulchellus	1	?	2	?
Pseudobagarius_baramensis	1	?	2	?
Percophidae	1	?	2	?
Plagiotremus_phenax	?	1	?	1
Palaeolycus_dreginensis	1	1	2	2
Evermannellidae	1	1	2	2
Eurypholis_pulchellus	1	1	2	2
Plagiotremus_laudandus	?	1	?	1
Limatulichthys_griseus	1	1	2	2
Serrapinnus	?	1	?	2
Zeidae	1	1	2	2
Cyprinella	1	?	2	?
Tomocichla_tuba	?	1	?	2
Assiculoides	1	1	1	1
Parotocinclus_spilosoma	1	?	2	?
Tautoga	1	1	2	2
Genus_C_species_C_(Malabarba_1998)	?	1	?	2
Alosa_caspia	?	1	?	2
Semaprochilodus_insignis	?	1	?	2
Pseudanos_gracilis	?	1	?	2
Ipnopidae	?	1	?	2
Iotichthys_phlegethontis	1	1	2	2
Heptapteridae	1	?	2	?
Curimatopsis_microlepis	?	1	?	2
Labrus	1	1	2	2
Alepisauridae	1	1	2	2
Indostomidae	1	1	1	1
Amphiliidae	1	?	2	?
Lycenchelys_maculata	?	1	?	1
Ichthyodectiformes	1	?	2	?
Poecilocharax_sp._(Fink_and_Fink_1981)	1	1	2	1
Chasmistes_brevirostris	?	1	?	2
Oxycheilinus_arenatus	1	1	2	2
Leporinus_cf._moralesi_(Sidlauskas_and_Vari_2008)	?	1	?	2
Brachionichthyidae	1	?	2	?
Protacanthodes_nimesensis	?	1	?	1
Potamalosa_richmondia	?	1	?	2
Bovichtus_variegatus	1	?	2	?
Citharoides_macrolepis	?	1	?	2
Leporinus_cf._ecuadorensis_(Sidlauskas_and_Vari_2008)	?	1	?	2
Lepidonotothen_squamifrons	1	?	2	?
Moxostoma_rupiscartes	?	1	?	2
Moringua_edwardsi	1	?	1	?
Wetmorella_albofasciata	1	1	2	2
Kolpotocheirodon_theloura	?	1	?	2
Congiopodus_peruvianus	1	?	2	?
Prodontocharax_melanotus	?	1	?	2
Dorosoma_smithi	?	1	?	2
Barbus_callensis	1	1	2	1
Euchiloglanis_kishinouyei	1	?	2	?
Nandopsis_tetracanthus	?	1	?	2
Vieja_maculicauda	?	1	?	2
Chaunacidae	1	?	2	?
Ethmalosa_fimbriata	?	1	?	2
Moxostoma_robustum	?	1	?	2
Cichlasoma_istlanum	?	1	?	2
Lophiidae	1	?	2	?
Pseudanos_winterbottomi	?	1	?	2
Thoburnia_rhothoeca	?	1	?	2
Vieja_synspila	?	1	?	2
Nanocheirodon	?	1	?	2
Cichlasoma_festae	?	1	?	2
Pagothenia	1	?	2	?
Acanthopleurus_serratus	?	1	?	1
Notothenia_rossii	1	?	2	?
Cheilinus_abudjubbe	1	1	2	2
Pseudaphritis_urvillii	1	?	2	?
Chlidichthys	1	1	1	1
Mastacembelus_moorii	1	?	1	?
Thoburnia_atripinnis	?	1	?	2
Pseudocheirodon_arnoldi	?	1	?	2
Careproctus_cypselurus	1	?	2	?
Paracheilinus	1	1	2	2
Malacosteus_niger	1	1	1	1
Moxostoma_austrinum	?	1	?	2
Paraliparis_copei	1	?	2	?
Trichonotidae	1	?	2	?
Carpathospinosus_propheticus	?	1	?	1
Microglanis_cibelae	1	?	2	?
Cichlasoma_ramsdeni	?	1	?	2
Amsichthys_knighti	1	1	1	1
Mastacembelus_goro	1	?	1	?
Parabathymyrus	1	?	1	?
Mastacembelus_platysoma	1	?	1	?
Oxycheilinus_unifasciatus	1	1	2	2
Parachromis_loisellei	?	1	?	2
Dionda	1	?	2	?
Petenia_splendida	?	1	?	2
Schizodon_nasutus	?	1	?	2
