taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Symphurus variegatus	0	?	0	?	1	0
Citharoides macrolepidotus	1	1	2	2	0	0
Plagiopsetta glossa	?	?	?	?	0	0
Trinectes inscriptus	?	1	?	1	0	1
Trinectes paulistanus	?	1	?	1	0	1
Trinectes maculatus	?	1	?	1	0	1
Trinectes opercularis	?	1	?	1	0	1
Trinectes fimbriatus	?	1	?	1	0	1
Trinectes xanthurus	?	1	?	1	0	1
Trinectes fluviatilis	?	1	?	1	0	1
Trinectes fonsecensis	?	1	?	1	0	1
Trinectes microphthalmus	?	1	?	1	0	1
Achirus lineatus	?	1	?	1	0	1
Achirus declivis	?	1	?	1	0	1
Achirus klunzingeri	?	1	?	1	0	1
Achirus zebrinus	?	1	?	1	0	1
Achirus mazatlanus	?	1	?	1	0	1
Achirus novoae	?	1	?	1	0	1
Achirus scutum	?	1	?	1	0	1
Achirus achirus	?	1	?	1	0	1
Achirus mucuri	?	1	?	1	0	1
Catathyridium jenynsii	?	1	?	1	0	1
Catathyridium lorentzii	?	1	?	1	0	1
Catathyridium garmani	?	1	?	1	0	1
Catathyridium grandirivi	?	1	?	1	0	1
Gymnachirus texae	?	1	?	1	0	1
Gymnachirus melas	?	1	?	1	0	1
Gymnachirus nudus	?	1	?	1	0	1
Hypoclinemus mentalis	?	1	?	1	0	1
Apionichthys rosai	?	1	?	1	0	1
Apionichthys seripierriae	?	1	?	1	0	1
Apionichthys sauli	?	1	?	1	0	1
Apionichthys dumerili	?	1	?	1	0	1
Apionichthys menezesi	?	1	?	1	0	1
Pnictes asphyxiatus	?	1	?	1	0	1
Citharus linguatula	1	1	2	2	0	0
Pelotretis flavilatus	?	?	?	?	0	0
Poecilopsetta plinthus	?	?	?	?	0	0
Lepidoblepharon ophthalmolepis	?	1	?	2	0	0
Brachypleura novaezeelandiae	1	1	2	2	0	0
Citharoides macrolepis	?	1	?	2	0	0
Trachurus delagoa	1	?	1	?	1	0
Trachurus japonicus	1	?	1	?	1	0
Trachurus lathami	1	?	1	?	1	0
Trachurus picturatus	1	?	1	?	1	0
Trachurus mediterraneus	1	?	1	?	1	0
Trachurus declivis	1	?	1	?	1	0
Trachurus symmetricus	1	?	1	?	1	0
Trachurus novaezelandiae	1	?	1	?	1	0
Trachurus trachurus	1	?	1	?	1	0
Trachurus capensis	1	?	1	?	1	0
Trachurus trecae	1	?	1	?	1	0
Trachurus murphyi	1	?	1	?	1	0
Trachurus longimanus	1	?	1	?	1	0
Trachurus indicus	1	?	1	?	1	0
Carangoides fulvoguttatus	1	?	1	?	1	0
Carangoides ruber	1	?	1	?	1	0
Carangoides bartholomaei	1	?	1	?	1	0
Carangoides equula	1	?	1	?	1	0
Carangoides gymnostethus	1	?	1	?	1	0
Carangoides orthogrammus	1	?	1	?	1	0
Carangoides armatus	1	?	1	?	1	0
Carangoides coeruleopinnatus	1	?	1	?	1	0
Carangoides bajad	1	?	1	?	1	0
Carangoides dinema	1	?	1	?	1	0
Carangoides chrysophrys	1	?	1	?	1	0
Carangoides otrynter	1	?	1	?	1	0
Carangoides malabaricus	1	?	1	?	1	0
Carangoides hedlandensis	1	?	1	?	1	0
Carangoides praeustus	1	?	1	?	1	0
Carangoides ferdau	1	?	1	?	1	0
Carangoides humerosus	1	?	1	?	1	0
Carangoides ciliarius	1	?	1	?	1	0
Carangoides talamparoides	1	?	1	?	1	0
Carangoides oblongus	1	?	1	?	1	0
Carangoides plagiotaenia	1	?	1	?	1	0
Caranx bucculentus	1	?	1	?	1	0
Caranx vinctus	1	?	1	?	1	0
Caranx caballus	1	?	1	?	1	0
Caranx hippos	1	?	1	?	1	0
Caranx lugubris	1	?	1	?	1	0
Caranx melampygus	1	?	1	?	1	0
Caranx ignobilis	1	?	1	?	1	0
Caranx tille	1	?	1	?	1	0
Caranx sexfasciatus	1	?	1	?	1	0
Caranx heberi	1	?	1	?	1	0
Caranx crysos	1	?	1	?	1	0
Caranx caninus	1	?	1	?	1	0
Caranx papuensis	1	?	1	?	1	0
Caranx latus	1	?	1	?	1	0
Caranx rhonchus	1	?	1	?	1	0
Caranx fischeri	1	?	1	?	1	0
Caranx senegallus	1	?	1	?	1	0
Selene vomer	1	?	1	?	1	0
Selene setapinnis	1	?	1	?	1	0
Selene brevoortii	1	?	1	?	1	0
Selene brownii	1	?	1	?	1	0
Selene dorsalis	1	?	1	?	1	0
Selene orstedii	1	?	1	?	1	0
Selene peruviana	1	?	1	?	1	0
Selene gallus	1	?	1	?	1	0
Remora remora	1	1	2	2	0	0
Remora brachyptera	1	1	2	2	0	0
Remora australis	1	1	2	2	0	0
Remora osteochir	1	1	2	2	0	0
Remorina albescens	1	1	2	2	0	0
Phtheirichthys lineatus	1	1	2	2	0	0
Echeneis neucratoides	1	1	2	2	0	0
Echeneis naucrates	1	1	2	2	0	0
Coryphaena hippurus	1	1	2	2	0	0
Coryphaena equiselis	1	1	2	2	0	0
Rachycentron canadum	1	1	1	2	0	0
Centropomus undecimalis	?	?	?	?	0	0
Trachinotus ovatus	1	?	1	?	1	0
Trachinotus teraia	1	?	1	?	1	0
Trachinotus falcatus	1	?	1	?	1	0
Trachinotus goodei	1	?	1	?	1	0
Trachinotus rhodopus	1	?	1	?	1	0
Trachinotus paitensis	1	?	1	?	1	0
Trachinotus africanus	1	?	1	?	1	0
Trachinotus botla	1	?	1	?	1	0
Trachinotus anak	1	?	1	?	1	0
Trachinotus carolinus	1	?	1	?	1	0
Trachinotus blochii	1	?	1	?	1	0
Trachinotus goreensis	1	?	1	?	1	0
Trachinotus coppingeri	1	?	1	?	1	0
Trachinotus baillonii	1	?	1	?	1	0
Trachinotus maxillosus	1	?	1	?	1	0
Trachinotus marginatus	1	?	1	?	1	0
Trachinotus mookalee	1	?	1	?	1	0
Trachinotus cayennensis	1	?	1	?	1	0
Trachinotus stilbe	1	?	1	?	1	0
Trachinotus kennedyi	1	?	1	?	1	0
Oligoplites saurus	1	?	1	?	1	0
Oligoplites altus	1	?	1	?	1	0
Oligoplites saliens	1	?	1	?	1	0
Oligoplites refulgens	1	?	1	?	1	0
Oligoplites palometa	1	?	1	?	1	0
Seriola zonata	1	?	1	?	1	0
Seriola carpenteri	1	?	1	?	1	0
Seriola quinqueradiata	1	?	1	?	1	0
Seriola fasciata	1	?	1	?	1	0
Seriola lalandi	1	?	1	?	1	0
Seriola rivoliana	1	?	1	?	1	0
Seriola hippos	1	?	1	?	1	0
Seriola dumerili	1	1	2	2	0	0
Seriola peruana	1	?	1	?	1	0
Xiphias gladius	1	0	1	0	0	0
Psettodes belcheri	1	1	2	2	1	1
Psettodes erumei	1	1	2	2	1	0
Psettodes bennettii	1	1	2	2	1	1
Lates microlepis	?	?	?	?	0	0
Lates mariae	?	?	?	?	0	0
Lates stappersii	?	?	?	?	0	0
Lates angustifrons	?	?	?	?	0	0
Uraspis helvola	1	?	1	?	1	0
Uraspis secunda	1	?	1	?	1	0
Uraspis uraspis	1	?	1	?	1	0
Selaroides leptolepis	1	?	1	?	1	0
Alectis ciliaris	1	?	1	?	1	0
Alectis alexandrina	1	?	1	?	1	0
Alectis indica	1	?	1	?	1	0
Chloroscombrus orqueta	1	?	1	?	1	0
Chloroscombrus chrysurus	1	?	1	?	1	0
Decapterus tabl	1	?	1	?	1	0
Decapterus macrosoma	1	?	1	?	1	0
Decapterus kurroides	1	?	1	?	1	0
Decapterus macarellus	1	?	1	?	1	0
Decapterus russelli	1	?	1	?	1	0
Decapterus punctatus	1	?	1	?	1	0
Decapterus maruadsi	1	?	1	?	1	0
Decapterus akaadsi	1	?	1	?	1	0
Decapterus muroadsi	1	?	1	?	1	0
Decapterus koheru	1	?	1	?	1	0
Scomberoides tala	1	?	1	?	1	0
Scomberoides commersonnianus	1	?	1	?	1	0
Scomberoides tol	1	?	1	?	1	0
Scomberoides lysan	1	?	1	?	1	0
Naucrates ductor	1	?	1	?	1	0
Gnathanodon speciosus	1	?	1	?	1	0
